User_id,food_name,country,calories,protein_g,fat_g,carbs_g,primary_goal,time_of_day,suitability_score
1,Rice Porridge (Jok),Thailand,60,3,1,11,Muscle Gain,Breakfast,0
1,Thai Omelette,Thailand,180,12,14,2,Muscle Gain,Breakfast,0
1,Sticky Rice with Mango,Thailand,190,3,6,35,Muscle Gain,Breakfast,0
1,Boiled Egg & Soy,Thailand,150,12,10,1,Muscle Gain,Breakfast,0
1,Fresh Dragon Fruit,Thailand,60,1,1,12,Muscle Gain,Breakfast,0
1,Coconut Yogurt,Thailand,100,2,8,6,Muscle Gain,Breakfast,0
1,Thai Tea with Milk,Thailand,80,2,3,12,Muscle Gain,Breakfast,0
1,Khao Tom (Rice Soup),Thailand,90,6,2,13,Muscle Gain,Breakfast,0
1,Grilled Pork Skewer,Thailand,250,18,18,4,Muscle Gain,Breakfast,0
1,Papaya with Lime,Thailand,43,0.5,0.1,11,Muscle Gain,Breakfast,0
1,Pad Thai (Lean),Thailand,200,8,8,26,Muscle Gain,Lunch,0
1,Som Tum (Papaya Salad),Thailand,80,2,0.5,18,Muscle Gain,Lunch,0
1,Green Curry Chicken,Thailand,165,12,11,6,Muscle Gain,Lunch,0
1,Tom Yum Goong,Thailand,90,12,3,5,Muscle Gain,Lunch,0
1,Chicken Satay,Thailand,185,20,10,4,Muscle Gain,Lunch,1
1,Thai Beef Salad,Thailand,150,22,6,4,Muscle Gain,Lunch,1
1,Red Curry Fish,Thailand,170,18,10,5,Muscle Gain,Lunch,0
1,Stir Fried Morning Glory,Thailand,60,3,4,4,Muscle Gain,Lunch,0
1,Steamed Jasmine Rice,Thailand,130,3,0.3,28,Muscle Gain,Lunch,0
1,Larb Gai (Chicken),Thailand,140,18,6,4,Muscle Gain,Lunch,0
1,Massaman Curry (Lean),Thailand,180,11,12,9,Muscle Gain,Dinner,0
1,Cashew Chicken,Thailand,200,19,12,8,Muscle Gain,Dinner,1
1,Steamed Lemon Fish,Thailand,110,22,2,1,Muscle Gain,Dinner,1
1,Pad See Ew (Lean),Thailand,190,10,8,22,Muscle Gain,Dinner,0
1,Panang Curry Chicken,Thailand,175,14,11,6,Muscle Gain,Dinner,0
1,Basil Chicken Stir Fry,Thailand,155,18,8,3,Muscle Gain,Dinner,0
1,Grilled Prawns,Thailand,100,21,2,1,Muscle Gain,Dinner,1
1,Glass Noodle Salad,Thailand,120,8,4,14,Muscle Gain,Dinner,0
1,Yellow Curry Veggie,Thailand,140,4,9,10,Muscle Gain,Dinner,0
1,Duck Curry (No Skin),Thailand,210,18,14,4,Muscle Gain,Dinner,0
2,Huevos Rancheros,Mexico,165,8,11,12,Maintenance,Breakfast,0
2,Chilaquiles (Baked),Mexico,190,6,10,22,Maintenance,Breakfast,0
2,Pork Tamales,Mexico,230,9,14,20,Maintenance,Breakfast,0
2,Molletes (Whole Wheat),Mexico,200,10,7,25,Maintenance,Breakfast,0
2,Fruit Salad with Lime,Mexico,55,1,0.5,13,Maintenance,Breakfast,0
2,Scrambled Eggs with Salsa,Mexico,140,10,11,2,Maintenance,Breakfast,0
2,Refried Black Beans,Mexico,120,7,3,16,Maintenance,Breakfast,0
2,Mexican Papaya,Mexico,43,0.5,0.1,11,Maintenance,Breakfast,0
2,Nopalitos (Cactus Eggs),Mexico,90,6,6,4,Maintenance,Breakfast,0
2,Oatmeal with Cinnamon,Mexico,110,4,2,18,Maintenance,Breakfast,0
2,Tacos al Pastor (Lean),Mexico,200,14,9,16,Maintenance,Lunch,1
2,Chicken Enchiladas,Mexico,185,12,10,14,Maintenance,Lunch,1
2,Pozole Soup (Chicken),Mexico,105,9,3,11,Maintenance,Lunch,0
2,Chicken Mole (Lean),Mexico,220,16,12,13,Maintenance,Lunch,1
2,Fish Ceviche,Mexico,95,15,2,5,Maintenance,Lunch,1
2,Grilled Shrimp Tacos,Mexico,160,14,6,14,Maintenance,Lunch,1
2,Black Bean Soup,Mexico,90,6,1,16,Maintenance,Lunch,0
2,Guacamole & Jicama,Mexico,120,2,10,8,Maintenance,Lunch,0
2,Fajita Chicken Salad,Mexico,140,20,6,5,Maintenance,Lunch,1
2,Grilled Corn (Elote),Mexico,150,4,6,25,Maintenance,Lunch,0
2,Pork Carnitas (Lean),Mexico,240,22,16,0,Maintenance,Dinner,1
2,Cheese Quesadilla (WW),Mexico,270,12,16,22,Maintenance,Dinner,1
2,Chile Relleno (Baked),Mexico,170,8,11,10,Maintenance,Dinner,0
2,Carne Asada,Mexico,210,26,12,0,Maintenance,Dinner,0
2,Tortilla Soup,Mexico,110,6,6,9,Maintenance,Dinner,0
2,Baked Red Snapper,Mexico,120,24,3,0,Maintenance,Dinner,1
2,Beef Barbacoa,Mexico,200,22,12,2,Maintenance,Dinner,1
2,Grilled Vegetables,Mexico,70,2,4,8,Maintenance,Dinner,0
2,Turkey Tostadas,Mexico,180,15,8,14,Maintenance,Dinner,1
