User_id,food_id,country_id,calories,protein_g,fat_g,carbs_g,goal_id,time_id,suitability_score,,
1,308,13,60,3,1,11,2,1,0,,
1,392,13,180,12,14,2,2,1,0,,
1,366,13,190,3,6,35,2,1,0,,436
1,44,13,150,12,10,1,2,1,0,,
1,137,13,60,1,1,12,2,1,0,,
1,103,13,100,2,8,6,2,1,0,,
1,393,13,80,2,3,12,2,1,0,,
1,205,13,90,6,2,13,2,1,0,,
1,182,13,250,18,18,4,2,1,0,,
1,282,13,43,0.5,0.1,11,2,1,0,,
1,276,13,200,8,8,26,2,2,0,,
1,345,13,80,2,0.5,18,2,2,0,,
1,160,13,165,12,11,6,2,2,0,,
1,397,13,90,12,3,5,2,2,0,,
1,87,13,185,20,10,4,2,2,1,,
1,391,13,150,22,6,4,2,2,1,,
1,304,13,170,18,10,5,2,2,0,,
1,367,13,60,3,4,4,2,2,0,,
1,358,13,130,3,0.3,28,2,2,0,,
1,217,13,140,18,6,4,2,2,0,,
1,238,13,180,11,12,9,2,3,0,,
1,67,13,200,19,12,8,2,3,1,,
1,359,13,110,22,2,1,2,3,1,,
1,275,13,190,10,8,22,2,3,0,,
1,279,13,175,14,11,6,2,3,0,,
1,24,13,155,18,8,3,2,3,0,,
1,183,13,100,21,2,1,2,3,1,,
1,151,13,120,8,4,14,2,3,0,,
1,433,13,140,4,9,10,2,3,0,,
1,117,13,210,18,14,4,2,3,0,,
2,196,9,165,8,11,12,3,1,0,,
2,98,9,190,6,10,22,3,1,0,,
2,293,9,230,9,14,20,3,1,0,,
2,251,9,200,10,7,25,3,1,0,,
2,145,9,55,1,0.5,13,3,1,0,,
2,331,9,140,10,11,2,3,1,0,,
2,306,9,120,7,3,16,3,1,0,,
2,241,9,43,0.5,0.1,11,3,1,0,,
2,262,9,90,6,6,4,3,1,0,,
2,265,9,110,4,2,18,3,1,0,,
2,383,9,200,14,9,16,3,2,1,,
2,77,9,185,12,10,14,3,2,1,,
2,294,9,105,9,3,11,3,2,0,,
2,83,9,220,16,12,13,3,2,1,,
2,131,9,95,15,2,5,3,2,1,,
2,187,9,160,14,6,14,3,2,1,,
2,38,9,90,6,1,16,3,2,0,,
2,191,9,120,2,10,8,3,2,0,,
2,125,9,140,20,6,5,3,2,1,,
2,169,9,150,4,6,25,3,2,0,,
2,292,9,240,22,16,0,3,3,1,,
2,72,9,270,12,16,22,3,3,1,,
2,99,9,170,8,11,10,3,3,0,,
2,66,9,210,26,12,0,3,3,0,,
2,399,9,110,6,6,9,3,3,0,,
2,17,9,120,24,3,0,3,3,1,,
2,25,9,200,22,12,2,3,3,1,,
2,190,9,70,2,4,8,3,3,0,,
2,405,9,180,15,8,14,3,3,1,,
2,225,9,100,7,2,15,3,3,0,,
3,196,9,165,8,11,12,2,1,0,,
3,98,9,190,6,10,22,2,1,0,,
3,293,9,230,9,14,20,2,1,0,,
3,251,9,200,10,7,25,2,1,0,,
3,145,9,55,1,0.5,13,2,1,0,,
3,331,9,140,10,11,2,2,1,0,,
3,306,9,120,7,3,16,2,1,0,,
3,241,9,43,0.5,0.1,11,2,1,0,,
3,262,9,90,6,6,4,2,1,0,,
3,265,9,110,4,2,18,2,1,0,,
3,383,9,200,14,9,16,2,2,0,,
3,77,9,185,12,10,14,2,2,0,,
3,294,9,105,9,3,11,2,2,0,,
3,83,9,220,16,12,13,2,2,0,,
3,131,9,95,15,2,5,2,2,0,,
3,187,9,160,14,6,14,2,2,0,,
3,38,9,90,6,1,16,2,2,0,,
3,191,9,120,2,10,8,2,2,0,,
3,125,9,140,20,6,5,2,2,1,,
3,169,9,150,4,6,25,2,2,0,,
3,292,9,240,22,16,0,2,3,1,,
3,72,9,270,12,16,22,2,3,0,,
3,99,9,170,8,11,10,2,3,0,,
3,66,9,210,26,12,0,2,3,1,,
3,399,9,110,6,6,9,2,3,0,,
3,17,9,120,24,3,0,2,3,1,,
3,25,9,200,22,12,2,2,3,1,,
3,190,9,70,2,4,8,2,3,0,,
3,405,9,180,15,8,14,2,3,0,,
3,225,9,100,7,2,15,2,3,0,,
4,176,7,230,21,15,0,2,1,1,,
4,246,7,35,3,1,4,2,1,0,,
4,260,7,210,18,11,14,2,1,0,,
4,386,7,150,10,10,4,2,1,0,,
4,52,7,130,3,0.3,28,2,1,0,,
4,364,7,80,8,4,2,2,1,0,,
4,287,7,20,1,0.1,4,2,1,0,,
4,162,7,1,0.1,0,0,2,1,0,,
4,273,7,170,5,1,35,2,1,0,,
4,116,7,35,6,0.5,5,2,1,0,,
